Name,Lecture,Comment,Time,Likes,Reply Count,Sentiments
@user-px4if3zq4d,1,An algorithm is a step-by-step procedure or set of rules designed to perform a specific task or solve a particular problem.,2023-12-30T05:00:38Z,0,0,neutral
@user-px4if3zq4d,1,Why Ai make?,2023-12-30T04:46:00Z,0,0,not
@user-px4if3zq4d,1,What&#39;s Ai?,2023-12-30T04:11:35Z,0,0,neutral
@user-px4if3zq4d,1,Assalam u alaikum sir Irfan Malik when Ai make?,2023-12-30T04:11:22Z,0,0,neutral
@user-zi4zx6vn5q,1,will this course help me as an accountant?,2023-12-27T20:51:21Z,0,0,not
@Skilzatrainings,1,Masha Allah guys doing great job...God Bless You!,2023-12-27T13:14:26Z,0,0,positive
@saadsalam,1,Total fraud.,2023-12-27T05:38:32Z,0,0,negative
@abeeramalik1234,1,I highly appreciate you Sir! ❤ <br>May Allah Almighty bless you,2023-12-26T09:12:42Z,0,0,positive
@fatimadanish7987,1,amazing teacher you are it was informative and impressive. started today hope i will complete the course.Irfan Malik u are a star.,2023-12-26T08:39:22Z,0,0,positive
@shahzadhussain4004,1,Which types of the projects can be done by AI.,2023-12-24T17:50:52Z,0,0,neutral
@user-xs8zm5bm2s,1,Very Thanks to Irfan Malik Sb. for such a great work startup here i.e. too much appreciable effort.,2023-12-24T08:34:29Z,0,0,positive
@krind,1,"I appreciate the support in AI education. Dear Irfan and your team have made understandable for someone like me with a law background.<br><br>Understanding different AI branches like classic AI, Neural AI, and general AI has been crucial. Learning about Models have been enlightening, and I’m eager to explore how these models can enhance innovation and quality in my field.<br><br>Your team’s dedication has simplified AI for me and opened doors for future applications. Looking forward to more learning and collaboration.<br><br>Excited about the vision of using AI models to improve various fields in the future.<br><br><br>I can foresee the impact on my law practice and my wife, who is in medical field a tech specialist or prompt expert , using AI models in our respective fields.<br><br>Regards,Khalid Rind <br>Sydney",2023-12-24T00:08:40Z,0,0,positive
@user-mn4bx7bu8g,1,@panaverse dao wala course kraey generative ai ka,2023-12-23T23:49:16Z,0,0,not
@hamidamalik86,1,Sr nice job you learn so easy way and examples are so easy,2023-12-23T15:25:28Z,2,0,positive
@hamidamalik86,1,Sr nice job you learn so easy way and examples are so easy,2023-12-23T15:25:14Z,0,0,positive
@accountingmate731,1,"Irfan bhai and DrSb Salute to your sincerity, dedication and love to develop people by inputting your max. This is what our beloved prophet Muhammad peace be upon him Said that the best of human is the one who is beneficial to others May Almighty Allah bestow you more blessings. Aameen",2023-12-23T12:13:03Z,0,0,positive
@user-pz9wn7wt4h,1,Sir how can i apply for AI and any classes and session start anywhere,2023-12-22T10:35:48Z,0,0,neutral
@Benam17,1,"Finished the first lecture, and I must say it&#39;s a must take course for every beginner AI enthusiasts like me. Thank you sir @irfan and @xeven solution for designing and providing this incredible course free of cost. Highly appreciated 👍",2023-12-21T07:12:45Z,0,0,positive
@invocreatives,1,Lecture -1 completed Amazing 🤩,2023-12-21T03:05:55Z,0,0,positive
@wasimakramrana55,1,"Sir main new hon thori bohat information hai computer k bary main, main online earning krna chahta hon to kia main ai seekh sakta hon directly ya mjy phely koi skill seekhna chahiy plz guide me",2023-12-20T17:42:36Z,0,0,neutral
@Mrs_syed,1,Today I hv seen u first time. <br>Learnt a lot<br>Thank you,2023-12-19T23:24:52Z,0,0,positive
@IBRAHIMKHAN-hl1co,1,Thanks a lot!,2023-12-19T15:00:41Z,0,0,positive
@AmzToolsConsultant,1,thank you,2023-12-17T22:23:25Z,0,0,positive
@AmzToolsConsultant,1,Conceptual,2023-12-17T22:23:13Z,0,0,not
@Bushrakhan730,1,The spreading of Ai or increase in the tools of Ai day by day reminds me about the hadees of Muhammad SAWW k anqareeb wo waqt ay ga jb fitny tmharay gron main barish k qatron ki trha dakhil honngy..😢. Next Allah Knows better... But the thing is we should must learn machine so that we can defend if there will be any mishap😂😂😂,2023-12-16T16:07:33Z,0,0,negative
@muhammadmoeen6701,1,Good super knowledge provided but my suggestion that avoid both category persons technical n untechnical persons same classes. Seperation class will result faster. Because if we blow both categories same time they will be bore one by one.,2023-12-15T21:57:46Z,0,0,positive
@IqraZulfiqar-qo3fg,1,Thanks,2023-12-14T17:39:50Z,0,0,positive
@KHRizviMedia7262,1,Sir Mjhy Samjh Nahi Arahi Iss Course Ki Kindly guide Me. But Main Samjh raha hnn,2023-12-14T16:04:10Z,0,0,negative
@kpop-universe483,1,I am watching sir Syeed Ahmad Khan ideology...,2023-12-13T07:38:35Z,0,0,neutral
@kpop-universe483,1,I am student of BS chemistry....can i learn this?? <br>Is it for everyone?? Or only for students related to computer sciences...,2023-12-13T07:14:31Z,0,1,neutral
@zuhaibtoor4032,1,Sir Amazing,2023-12-13T06:37:10Z,0,0,positive
@samibatah3653,1,20 mint tak watch kia abe tak kuch sumgh ni aa re koi mugay motivate kr day,2023-12-12T06:56:52Z,0,0,negative
@hidayatshah1586,1,I watch vedio from Abu Dhabi very nice every night,2023-12-10T19:41:29Z,0,0,positive
@user-ox4qr5nn5z,1,sent me assignment .sir,2023-12-10T13:51:28Z,1,0,neutral
@AtiyaSiddiqui-ij1yx,1,Algorithm = the way of working<br>Modal  = like a tool jis ki programing hwe ve ho or usse use krna ho  <br>Am I right sir?,2023-12-10T09:41:34Z,0,0,neutral
@BrainFlexChallenges,1,Beth k pani pina sunat hai.,2023-12-07T15:59:39Z,0,0,not
@adityajat226,1,Sir i am a student of ai and ml private college btech first year  can i see your lecture its helpful for me or not,2023-12-04T12:25:40Z,0,0,neutral
@ahsanraza3657,1,Thank you sir  ge information,2023-12-04T12:01:45Z,0,0,positive
@nasreenakhtar9113,1,impressive .thank you so much sir,2023-12-03T19:42:20Z,0,0,positive
@BilalKhan-ck6bi,1,sir please share these slides .....,2023-12-03T18:58:31Z,0,0,neutral
@zubairaliaqat6805,1,physical class ka criteria kha ha aur ya next fourth month batch kub start ho ka,2023-12-03T16:20:00Z,0,0,not
@mumtazhayat7134,1,"&quot;A big salute to Irfan Malik! Your dedication to uplifting the community through education is truly admirable. Your commitment to sharing knowledge selflessly serves as a beacon of inspiration. Your teaching skills (especially story building), combined with a generous heart, make you a lighthouse guiding many toward success. In a landscape where some prioritize profits over education, your altruistic approach is a refreshing example. Keep illuminating the path of learning for others. Thank you for being a driving force for change!&quot; in the last again a lot of appreciation for you and your team and a lot of prayers.",2023-12-03T07:27:44Z,7,0,positive
@doublenews2068,1,Dr ko lecture dena nahi aata bechare ko,2023-12-03T04:54:20Z,0,0,negative
@fozeahmad5439,1,I cant learn anything that so unstructured and tangential,2023-12-03T03:40:36Z,0,0,negative
@azamsufyan431,1,Hello muj lata pata chl h. ap email kasy snd kro.plesse guide,2023-12-01T19:21:45Z,0,0,neutral
@haseeb1717,1,Plz inhouse training ke liye  aik clear criteria rakhain apny channel ko chlany ke liye sari dunya ko apny peechay mat lagain aur bachon ka time waste na karain .,2023-12-01T13:55:08Z,0,0,negative
@drkbsdiary5257,1,LISTENED IT FOR 2ND TIME REVISON HEHHEHEHE,2023-11-30T09:29:15Z,0,0,positive
@drkbsdiary5257,1,MAZA AGYA,2023-11-30T09:28:59Z,0,0,the
@umarfarooq8691,1,Thank u so much,2023-11-29T14:10:47Z,0,0,positive
@bigofficial649,1,Thank your very good explanation,2023-11-26T02:34:35Z,0,0,positive
@mishi-ch,1,sir you said about API and we say that API worked as a third party?<br>means that we take information about any model and dilever to other in this way we are the raw matreril?can you tell me more about API?,2023-11-25T12:11:00Z,0,0,neutral
@muhammaddanialtanoli,1,Wonderful explanation of technical concepts thank you so much Sir for these lectures ❤,2023-11-24T15:31:19Z,0,0,positive
@MuhammadJunaid-ri5kd,1,"Sir I watched all lecture 1 , your way of delivering lecture is superb, but doctor shb use difficult language, which is difficult to understand, please Dr shb use easy wording for non technical person, once again thanks  Irfan malik of delivering lecture with example which is easy for understanding the computer language terms,",2023-11-24T06:15:03Z,1,0,negative
@mianzeeshanjaved3156,1,"Ma shah Allah Sir, great job. may Allah happy and more success in your life.Ameen.",2023-11-21T19:44:30Z,1,0,positive
@Orekimv1,1,very nice,2023-11-21T05:52:43Z,0,0,positive
@tajzaman4292,1,Really Appreciate your work. May Allah bless you both and reward you for it Ameen,2023-11-21T05:11:03Z,1,0,positive
@mohammedahmad6196,1,"<a href=""https://www.youtube.com/watch?v=3tDE4hDaYgw&amp;t=56m10s"">56:10</a>",2023-11-20T09:48:47Z,0,0,not
@khawajaabdullah1768,1,Ye AI course students b kr sakty hena<br>..mtlb jo abhi parh ry hon...BS computer science 1st semster,2023-11-16T16:03:03Z,0,1,not
@Muqadas-ix9bz,1,Thanks sir,2023-11-16T11:48:14Z,0,0,positive
@Muqadas-ix9bz,1,What is proms,2023-11-16T10:59:21Z,0,1,neutral
@Muqadas-ix9bz,1,"New Lewles ai k Pas nh wo hum apny dy KR es ko mazet Acha KR skty <a href=""http://hin.jo/"">hin.jo</a> hamry adia hun gy",2023-11-16T07:32:37Z,0,0,not
@Muqadas-ix9bz,1,"New Lewles ai k Pas nh wo hum apny dy KR es ko mazet Acha KR skty <a href=""http://hin.jo/"">hin.jo</a> hamry adia hun gy",2023-11-16T07:32:05Z,0,0,not
@Muqadas-ix9bz,1,Sir g Dil BHT hush  hy. jeny ki umet mel gi.,2023-11-16T07:25:04Z,1,0,the
@Muqadas-ix9bz,1,Sir bht Acha lg ra hy .kash min ap k pas byht KR class ly skty.very nice.zabardast.,2023-11-16T07:13:55Z,1,0,positive
@Muqadas-ix9bz,1,Turi turi beis samj ai,2023-11-16T07:01:33Z,1,0,not
@Muqadas-ix9bz,1,Sir g agr min Leachers half chur dati hun Tu dubara kesy wahin sy  satat lun gi.please help me?,2023-11-16T06:56:54Z,0,0,negative
@Muqadas-ix9bz,1,Sir ap ny mujy step by step guide kr na hy. Mujy nh pat kesy kr na hy.,2023-11-16T06:51:46Z,0,0,negative
@LearnDigitalMarketing1855,1,I shall be very thankful to you if you kindly help them in learning.,2023-11-16T06:44:19Z,0,0,positive
@LearnDigitalMarketing1855,1,Assalam u alaikum sir. Mery bhateejy abi choty Hain but wo boht crazy Hain coding or designing seekhny k Liye. Ak three class me Hy or ak six class me. Jo six me Hy wo JavaScript seekh rha Hy. Me usy apka ye course refer ker deti Hun k wo ye ker Le. Plz aap her lec. K baad ki assignment b description me hi de diya kren. Ta k wo practically ker Le. Ma Sha Allah bohat intelligent or hardworking Hain wo. In Sha Allah ker Len gy.,2023-11-16T06:43:34Z,0,0,positive
@veer048,1,Pakistani should be thankful for this priceless efforts of the xeven team and mostly of sir Irfan,2023-11-15T18:09:15Z,16,1,positive
@islamicvideos-gc4xm,1,and sir your method of teaching is nice🤗,2023-11-14T14:58:27Z,0,0,positive
@islamicvideos-gc4xm,1,SIR jab maine firstime lecture lia to kuch smj nhi aya lekin jab maine 2nd time lia to I undestand alot,2023-11-14T14:56:37Z,1,0,positive
@amarhach,1,Very very informative,2023-11-12T11:59:09Z,0,0,positive
@hurrairamalik32,1,Can they will award us with a Certificate after we complete the course.,2023-11-12T07:23:38Z,0,0,neutral
@muhammadyaqoob2311,1,Cool and nice narration with information.,2023-11-12T05:06:08Z,0,0,positive
@MuhammadAzam-qt2sd,1,"Assalam u alaikum sir Irfan Malik, Dr. Sahib and your team so easy way to teaching and a very informative and very useful lecture for me.  i listen the complete lecture today. Sir i want to know that my age is 49 and i want to build a career in IT kinldy guide me how and from where i should be start my qualification is Ma Pol Science please.",2023-11-09T12:13:21Z,0,0,positive
@nabeelrana5714,1,How we can submit our Assigment during online now a days,2023-11-09T10:28:58Z,0,0,neutral
@nabeelrana5714,1,sir please guide me,2023-11-09T10:27:22Z,0,0,neutral
@nabeelrana5714,1,Mtlb muja assimets wgra ksa mill skta hai sir Irfan,2023-11-09T09:54:32Z,0,0,not
@nabeelrana5714,1,sir youtube wla Email ksa kra ma b classes la rahi ho,2023-11-09T09:53:53Z,0,0,not
@muhammadusmanshabbir3706,1,thanku sir for a good session,2023-11-08T18:20:07Z,0,0,positive
@bikeriderstuntviral,1,Sir jen ke Talem medal ha wo b kr skty hn,2023-11-08T03:04:58Z,0,0,not
@farhabari7877,1,"Assalamualaikum, sir,  really Appreciate ,  grateful to you  , Dr. Shahb Tc from Masroor Allahanegeyybann",2023-11-07T16:18:21Z,0,0,positive
@arts1654,1,Love from india 🇮🇳❤,2023-11-07T09:50:21Z,1,0,positive
@hiwibiwi8647,1,Omg thank you sir g,2023-11-07T08:01:03Z,0,0,positive
@AmmarAli-rs6wp,1,keep it up dont break this Lecture,2023-11-07T07:57:22Z,0,0,positive
@Khaqan2222,1,Really Appreciate your work. May Allah bless you both and reward you for it Ameen ❤,2023-11-07T05:26:41Z,0,0,positive
@MuhammadUmar-zg4lt,1,"There is so much information, a masterpiece. Keep it up, Irfan Malik.",2023-11-06T11:48:25Z,0,0,positive
@MohsinAli-ow9wb,1,Sir i want to learn being an untech person,2023-11-06T08:33:33Z,0,0,positive
@MohsinAli-ow9wb,1,"Sir hum online enrol nhi kr skty,hum lrkiyan kaisy aaien dosry sheron se",2023-11-05T19:42:03Z,0,0,negative
@sidra7089,1,"great sir, please make one more course on advance topics, I&#39;m very inspired from your teaching method and content material.",2023-11-05T09:34:18Z,0,0,positive
@amjadshabbirfoundation9965,1,Good work,2023-11-05T07:06:04Z,0,0,positive
@abdulazeemofficial207,1,No,2023-11-05T06:56:53Z,0,0,negative
@SardarzadaSahir,1,Teaching in Urdu is something that is highly appreciated,2023-11-05T02:08:19Z,0,0,positive
@SardarzadaSahir,1,Much awaiting and much needed show.... thank you all....❤❤❤,2023-11-05T02:04:37Z,0,0,positive
@SardarzadaSahir,1,"Algorithms are like the recipes for cooking, and models are the dishes you create using those recipes.",2023-11-05T02:03:09Z,0,0,positive
@FKFacts-wm2pr,1,I ALSO WANT TO DO CS IN FUTURE,2023-11-04T08:52:55Z,0,0,positive
@drnoorulkarimnaveed7346,1,Sir how to recieve certificate,2023-11-03T19:44:44Z,0,0,neutral
@muhammadadnanzafar473,1,Always I pay tribute to Sir Irfan Malik whenever I watch his lectures <br><br>Just awesome,2023-11-03T17:37:19Z,1,0,positive
@shabbirhussain5921,1,Great job sir your lecture are amazing,2023-11-03T06:22:05Z,0,0,positive
@RuaqyiaSafeer123,1,Nice❤❤❤,2023-11-03T05:41:43Z,0,0,positive
@homedecor1988,1,"Masha Allah, congratulations to the whole team. Irfan sb your step towards training the people of Pakistan is highly commendable. You are like a lighthouse and an excellent example for the people who are looting /making money by teaching these courses.<br>I am very much impressed with your generosity, teaching skills and having a kind heart for your nation.<br>Once again I would say Keep it up!!",2023-11-03T04:52:25Z,0,0,positive
@angelvlogs5056,1,"I am a small youtuber, Is this beneficial for me?",2023-11-02T19:44:40Z,0,0,neutral
@nabeelshabbir6673,1,What a great lecture Sir Allah bless you,2023-11-02T10:42:50Z,0,0,positive
@ZeeshanAli-nx8bb,1,vego dala 🤣🤣🤣🤣,2023-11-01T10:55:38Z,0,0,not
@moeezhaider6085,1,What is study required,2023-11-01T10:12:39Z,0,0,neutral
@mOmO52540,1,How to enroll?,2023-11-01T05:06:59Z,0,0,neutral
@mOmO52540,1,"How to attempt projects and assignments,",2023-11-01T05:06:41Z,0,0,not
@user-wq1cp8ie7t,1,"Deep learning course: AI for everyone , I think these all 35 lectures are based on that course.",2023-10-31T23:22:50Z,0,0,positive
@MuraadHasil7,1,That&#39;s the thing what I knew before😂 (Kuch logo ko bech me course chod k Jana ha hume pata ha) please guys do focus from the beginning..,2023-10-31T22:17:35Z,0,0,positive
@user-rh4km8dg3g,1,❤❤❤❤,2023-10-31T21:27:38Z,0,0,positive
@hiraakram347,1,Sir can you share slides please,2023-10-31T12:21:43Z,0,0,neutral
@CodeWithWajahat,1,Great 👍,2023-10-31T01:57:58Z,0,0,positive
@HibaInnovation,1,Thank you Lekin ap urdu ma KIO NAHI se ka ta,2023-10-30T14:57:06Z,1,0,positive
@mubashirmansoor9015,1,jazakAllah kher,2023-10-30T06:22:04Z,0,0,positive
@imranabbasiofficial3438,1,taleem kia hone chahi ye sir g,2023-10-29T17:51:53Z,0,0,not
@Blue.B8465,1,I&#39;m totally from a diverse field but your tone is so clear to understand it&#39;s amazing,2023-10-29T13:58:31Z,0,0,positive
@Blue.B8465,1,Mza agya lecture ka perfect,2023-10-29T13:56:15Z,0,0,positive
@akberhussain5083,1,"Wonderful, Excellent efforts for your citizens, country. I love both of you and your whole team. Allah Almighty bless you and, your team and families, Ameen. 🌹You are the Nation builders 🌷",2023-10-29T11:59:13Z,0,0,positive
@physicswonders4178,1,Thanks for your initiative,2023-10-28T21:21:46Z,0,0,positive
@user-yw8gj6gr5e,1,will you please share the lecture in document form?,2023-10-28T07:39:29Z,0,0,neutral
@user-yw8gj6gr5e,1,i want to be prompt engineer,2023-10-28T07:21:05Z,0,0,positive
@waheedaslam3169,1,aoa how i can register this course,2023-10-27T17:39:10Z,0,0,neutral
@user-yw8gj6gr5e,1,Thanks Sir I met you in karachi at Hotel MarRiot  Pafla ..I also want tasks and projects online via email,2023-10-27T16:22:31Z,0,0,positive
@alnoorservices6655,1,Aray Sir.... you are gem.... aj kal k time me kon free me itni information deta hai?????????,2023-10-26T13:50:57Z,0,0,positive
@umerfarooqumerfarooq-mr6mn,1,why ai does it not update the data it always sends according to 2021 what is reason,2023-10-26T05:22:18Z,0,0,negative
@aijazahmed8673,1,"Thank you sir,I have listened the whole <a href=""http://lecture.it/"">lecture.it</a> was amazing and I learnt a lot from this.",2023-10-26T05:18:11Z,0,0,positive
@newforlearn,1,Love from Abbottabad,2023-10-25T18:10:55Z,0,0,positive
@user-en1yn5ep9u,1,Great Work Sir ❤,2023-10-25T13:02:43Z,0,0,positive
@taimoorbajwaofficial269,1,What a great way of Teaching. Both of You thank you so much for providing such a valuable content.,2023-10-25T07:40:35Z,0,0,positive
@georanasons,1,lo;ve u sir from lahore,2023-10-25T07:07:42Z,0,0,positive
@rajaga.raheem6103,1,Glad to find this basics of AI,2023-10-24T11:52:19Z,0,0,positive
@digitalmarketing-cm8nu,1,I from Bangladesh,2023-10-20T19:45:59Z,0,0,neutral
@user-jr5jv2jc1b,1,"sir chatgpt ko konsa data diya gaya hai labbeled data ,unlabbel data",2023-10-18T11:12:45Z,0,0,not
@bilalbaig3067,1,"Assalam u alaikum Sir Irfan Malik &amp; his team, thank you for teaching AI to Pakistanis for free on YouTube.💯💯",2023-10-18T06:45:00Z,0,0,positive
@khuhroyasin,1,Thankyou sir for this informative and students friendly session. Totally inspired by you both 2 great teachers. i&#39;m computer science 3rd year student and now starting my career in AI. Thanks again sir and your team. ALLAH Azawajal apko es kawaish ka akhrat m  ajura dega inshaALLAH.,2023-10-17T20:19:47Z,2,0,positive
@anumzeeshan7733,1,where this physical class? karachi?,2023-10-14T15:55:14Z,0,0,neutral
@zaiqa-with-dureshahwar,1,AOA sir I&#39;m rumana Arshad and I&#39;m widow and 57years old lady I&#39;m a part of gov sindh AI courses,2023-10-13T16:07:58Z,0,0,neutral
@user-yt3ec6eq1d,1,Sir mujhy admission Lena h sir I am house wife plzzz,2023-10-12T04:24:11Z,0,0,neutral
@likethreebutterflies693,1,"Assalamoalaikum! It was worth watching. Learn alot of things, and inshaAllah i will learn from this platform.",2023-10-11T12:45:06Z,0,0,positive
@tamoordogar7698,1,thank you so much sir,2023-10-11T04:36:34Z,0,0,positive
@anamNaz-mk4zt,1,Sir I m new .I don&#39;t know about AI tool .can you tell me please the complete procedure  to add as a student in this sation,2023-10-10T16:32:17Z,0,0,neutral
@Asmakhatoon-naat,1,prompt is a enternal softwer,2023-10-09T21:14:13Z,0,0,neutral
@Asmakhatoon-naat,1,sub se pahly aap paypal ki service pakistan man leker ay kam ker k pase paypal se lena sub se muskil kam hay,2023-10-09T21:12:38Z,0,0,negative
@Asmakhatoon-naat,1,aap blogger aur google site ki site q nahi free man sikha rahy hay?,2023-10-09T21:11:23Z,0,0,negative
@Asmakhatoon-naat,1,kiya aap log tence ki terha traning de rahy hay?,2023-10-09T20:49:12Z,0,0,neutral
@Asmakhatoon-naat,1,labule is veri importent  for your page,2023-10-09T20:43:34Z,0,0,positive
@Asmakhatoon-naat,1,prompt is veri nice job,2023-10-09T20:15:18Z,0,0,positive
@Asmakhatoon-naat,1,man 20 sal se kam ker rahi hon lakin algrothm nahin parhi thi is liya ak pasa bhi recive ker saki aur payment lost kergai aur lakon pare hay,2023-10-09T20:14:17Z,0,0,negative
@Asmakhatoon-naat,1,sub se phle hume algruthm perhna chay,2023-10-09T20:05:55Z,0,0,neutral
@Asmakhatoon-naat,1,algrthum is privecy polcy,2023-10-09T20:05:18Z,0,0,not
@Asmakhatoon-naat,1,simpale aap blogger se q nahi sikhat?,2023-10-09T20:02:00Z,0,0,negative
@Aaron-og1gi,1,Sir online classes k Liye kaisa add hona hai,2023-10-09T03:59:44Z,0,0,not
@haroonafshal708,1,"Assalam u alaikum sir Irfan Malik &amp; his team, thank you for your invaluable contribution Sir is there any documents of the lecture please?",2023-10-08T05:44:30Z,0,0,positive
@nuzatali2371,1,So great work Allah bless you ❤,2023-10-07T19:54:02Z,0,0,positive
@asifskppk,1,"Today is October 7th, 2023, marking four months since your inaugural AI lecture🎉. I want to express my sincere appreciation 😊 to you and your team for the outstanding presentation. I have eagerly commenced my journey into your AI course on this very floor.❤",2023-10-07T15:50:04Z,2,0,positive
@matiurrehman1941,1,❤,2023-10-07T14:39:41Z,0,0,positive
@husnainali843,1,thank&#39;s.!,2023-10-07T12:42:19Z,0,0,positive
@rabiharana7085,1,A.A.sir mjhe bhi course krna ha online???,2023-10-05T17:42:54Z,0,0,not
@totalsolutiontaftvchannal6522,1,v good job,2023-10-05T02:01:31Z,0,0,positive
@shortskidunyaofficial,1,Can we amend more than 50 Aibmodels,2023-10-04T20:24:43Z,0,0,neutral
@AsadAli-et4xd,1,Present in lecture 1 starting to end 😊,2023-10-04T17:27:39Z,0,0,positive
@junaidjamshaid8633,1,Assalam_u_alaikum my name is uswa Jamshaid from grade5,2023-10-04T09:10:04Z,1,0,neutral
@theavalontech,1,Best &lt;3,2023-10-03T22:05:19Z,0,0,positive
@farzanajavaid8475,1,Great job.Very informative. Please add me in this AI course.,2023-10-03T16:48:19Z,0,0,positive
@ReemaQadeer,1,Jo youtube se parh rahe hain unko assignments or quiz or task kese milenge,2023-10-03T13:13:38Z,0,0,neutral
@najeemkhan1153,1,"Thank you Sir for AI free course, Sir learning or practices  k ly main Chat GPT free account use karlo ya paid wala version purchase karlo. Please Advise.",2023-10-03T02:51:01Z,0,0,positive
@amazidshoponlineshopping3958,1,assalamualaikum  sir irfan sir ap sa mara ek sawal ha ka modal ko kasa train karin ga ka wo haman har sawal ka jawab da  ya phr kisi ek chese ka bara ma train karain ga ya samajh nahi aya sir,2023-10-02T12:32:46Z,0,0,not
